公司代號,公司名稱,統一編號,_統一編號
3005,神基科技股份有限公司,"	22099532","_	22099532"
3006,晶豪科技股份有限公司,"	16130280","_	16130280"
3008,大立光電股份有限公司,"	22480876","_	22480876"
3010,華立企業股份有限公司,"	75514419","_	75514419"
3011,今皓實業股份有限公司,"	20950226","_	20950226"
3013,晟銘電子科技股份有限公司,"	04777186","_	04777186"
3014,聯陽半導體股份有限公司,"	84149717","_	84149717"
3015,全漢企業股份有限公司,"	84239055","_	84239055"
3016,嘉晶電子股份有限公司,"	16130388","_	16130388"
3017,奇鋐科技股份有限公司,"	86427715","_	86427715"
3018,同開科技工程股份有限公司,"	96924451","_	96924451"
3019,亞洲光學股份有限公司,"	55921894","_	55921894"
3021,鴻名企業股份有限公司,"	84274833","_	84274833"
