公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
2064,_2064,晉椿工業股份有限公司,30826319,_	30826319,上櫃
2065,_2065,世豐螺絲股份有限公司,31213886,_	31213886,上櫃
2066,_2066,世德工業股份有限公司,22546808,_	22546808,上櫃
2067,_2067,嘉鋼精密工業股份有限公司,66402912,_	66402912,上櫃
2068,_2068,優頻科技材料股份有限公司,23929418,_	23929418,公開發行
2069,_2069,運錩鋼鐵股份有限公司,22533297,_	22533297,上市
2070,_2070,精湛光學科技股份有限公司,89855649,_	89855649,上櫃
2071,_2071,震南鐵線股份有限公司,86540792,_	86540792,興櫃
2072,_2072,世紀離岸風電設備股份有限公司,69651695,_	69651695,興櫃
2073,_2073,雄順金屬股份有限公司,24512261,_	24512261,上櫃
2101,_2101,南港輪胎股份有限公司,11520909,_	11520909,上市
2102,_2102,泰豐輪胎股份有限公司,44721408,_	44721408,上市
2103,_2103,台橡股份有限公司,3553737,_	03553737,上市
2104,_2104,國際中橡投資控股股份有限公司,4382114,_	04382114,上市
2105,_2105,正新橡膠工業股份有限公司,59504506,_	59504506,上市
2106,_2106,建大工業股份有限公司,59619900,_	59619900,上市
2107,_2107,厚生股份有限公司,3283306,_	03283306,上市
2108,_2108,南帝化學工業股份有限公司,12209807,_	12209807,上市
2109,_2109,華豐橡膠工業股份有限公司,59760104,_	59760104,上市
2114,_2114,鑫永銓股份有限公司,51704734,_	51704734,上市
2115,_2115,六暉控股股份有限公司,38773146,_	38773146,上市
2201,_2201,裕隆汽車製造股份有限公司,3489200,_	03489200,上市
2204,_2204,中華汽車工業股份有限公司,3098415,_	03098415,上市
2206,_2206,三陽工業股份有限公司,24004006,_	24004006,上市
2207,_2207,和泰汽車股份有限公司,3251108,_	03251108,上市
2208,_2208,台灣國際造船股份有限公司,4695235,_	04695235,上市
2211,_2211,長榮鋼鐵股份有限公司,81188829,_	81188829,上市
2215,_2215,匯豐汽車股份有限公司,83446817,_	83446817,公開發行
2218,_2218,高都汽車股份有限公司,85961513,_	85961513,公開發行
2219,_2219,鍾慶科技開發股份有限公司,64998780,_	64998780,公開發行
2220,_2220,南都汽車股份有限公司,86120567,_	86120567,公開發行
2221,_2221,大甲永和機械工業股份有限公司,56615319,_	56615319,上櫃
2222,_2222,桃苗汽車股份有限公司,22817885,_	22817885,公開發行
2225,_2225,國都汽車股份有限公司,22663848,_	22663848,公開發行
2226,_2226,中部汽車股份有限公司,22819125,_	22819125,公開發行
2227,_2227,裕隆日產汽車股份有限公司,80032530,_	80032530,上市
2228,_2228,劍麟股份有限公司,4359789,_	04359789,上市
2230,_2230,泰茂實業股份有限公司,86070187,_	86070187,上櫃
2231,_2231,為升電裝工業股份有限公司,23219346,_	23219346,上市
2233,_2233,宇隆科技股份有限公司,22702791,_	22702791,上市
2235,_2235,謚源實業股份有限公司,22479934,_	22479934,上櫃
2236,_2236,百達精密工業股份有限公司,42299452,_	42299452,上市
2237,_2237,華德動能科技股份有限公司,27579308,_	27579308,興櫃
2239,_2239,開曼英利工業股份有限公司,47423487,_	47423487,上市
2241,_2241,艾姆勒科技股份有限公司,53418357,_	53418357,上市
